customer_id,long,lat,demand,tw_start,tw_end,carrier_id,value,service_duration,reservation
0,60,80,1,95,156,0,0,90,False
1,53,30,1,450,505,0,0,90,False
2,35,5,1,562,629,0,0,90,False
3,40,15,1,35,87,0,0,90,False
4,48,40,1,76,129,0,0,90,False
5,67,85,1,368,441,0,0,90,False
6,47,35,1,826,875,0,0,90,False
7,50,30,1,531,610,0,0,90,False
8,88,35,1,109,170,0,0,90,False
9,75,55,1,369,420,0,0,90,False
10,35,30,1,264,321,0,0,90,False
11,88,30,1,574,643,0,0,90,False
12,23,52,1,261,316,0,0,90,False
13,65,55,1,85,144,1,0,90,False
14,60,60,1,836,889,1,0,90,False
15,25,52,1,169,224,1,0,90,False
16,55,80,1,743,820,1,0,90,False
17,72,55,1,265,338,1,0,90,False
18,53,35,1,353,412,1,0,90,False
19,42,10,1,186,257,1,0,90,False
20,38,5,1,471,534,1,0,90,False
21,38,15,1,651,740,1,0,90,False
22,45,35,1,916,969,1,0,90,False
23,65,82,1,285,336,1,0,90,False
24,25,85,1,652,721,1,0,90,False
25,30,32,1,448,509,1,0,90,False
26,30,50,1,10,73,2,0,90,False
27,42,66,1,65,146,2,0,90,False
28,42,68,1,727,782,2,0,90,False
29,8,45,1,751,816,2,0,90,False
30,85,25,1,769,820,2,0,90,False
31,35,66,1,357,410,2,0,90,False
32,10,35,1,200,237,2,0,90,False
33,15,80,1,278,345,2,0,90,False
34,87,30,1,668,731,2,0,90,False
35,65,85,1,475,518,2,0,90,False
36,20,85,1,475,528,2,0,90,False
37,85,35,1,47,124,2,0,90,False
38,63,58,1,737,802,2,0,90,False
39,50,35,1,262,317,3,0,90,False
40,25,35,1,912,969,3,0,90,False
41,18,75,1,99,148,3,0,90,False
42,45,70,1,825,870,3,0,90,False
43,30,52,1,914,965,3,0,90,False
44,47,40,1,12,77,3,0,90,False
45,28,30,1,632,693,3,0,90,False
46,28,55,1,732,777,3,0,90,False
47,60,85,1,561,622,3,0,90,False
48,25,30,1,725,786,3,0,90,False
49,66,55,1,173,238,3,0,90,False
50,95,30,1,387,456,3,0,90,False
51,40,69,1,621,702,3,0,90,False
