customer_id,long,lat,demand,tw_start,tw_end,carrier_id,value,service_duration,reservation
0,10,43,1,95,105,0,0,10,False
1,31,67,1,95,105,0,0,10,False
2,55,54,1,94,104,0,0,10,False
3,15,77,1,73,83,0,0,10,False
4,26,35,1,176,186,0,0,10,False
5,25,24,1,39,49,1,0,10,False
6,6,68,1,108,118,1,0,10,False
7,25,30,1,99,109,1,0,10,False
8,63,23,1,136,146,1,0,10,False
9,20,40,1,87,97,1,0,10,False
10,49,73,1,127,137,2,0,10,False
11,65,20,1,172,182,2,0,10,False
12,30,60,1,124,134,2,0,10,False
13,41,37,1,39,49,2,0,10,False
14,11,31,1,101,111,2,0,10,False
15,45,10,1,97,107,3,0,10,False
16,2,60,1,41,51,3,0,10,False
17,23,3,1,132,142,3,0,10,False
18,26,27,1,100,110,3,0,10,False
19,5,30,1,157,167,3,0,10,False
